0;1;2
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);alcatel Pop 8S
Chipset Not Found;Mediatek MT8392 (28 nm);alcatel Hero 8
Chipset Not Found;Mediatek MT8392 (28 nm);alcatel Hero 2
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);alcatel Pop 7S
Chipset Not Found;Mediatek MT8117;alcatel Pixi 7
Chipset Not Found;Mediatek MT8382 (28 nm);alcatel Pop 8
Chipset Not Found;Rochip RK2918;alcatel One Touch T10
Chipset Not Found;Rockchip RK2928;alcatel One Touch Tab 7
Chipset Not Found;BCM 21552G;alcatel OT-983
Chipset Not Found;Mediatek MT6573 (65 nm);alcatel OT-903
Chipset Not Found;TI OMAP 4460;alcatel OT-986
Chipset Not Found;Mediatek MT6573 (65 nm);alcatel OT-991
Chipset Not Found;Mediatek MT6573 (65 nm);alcatel OT-916
Chipset Not Found;Mediatek MT6573 (65 nm);alcatel OT-985
Chipset Not Found;Mediatek MT6516;alcatel OT-891 Soul
Chipset Not Found;Mediatek MT6573 (65 nm);alcatel OT-918
Chipset Not Found;Mediatek MT6573 (65 nm);alcatel OT-918D
Chipset Not Found;Mediatek MT6516;alcatel OT-890
Chipset Not Found;Mediatek MT6763 Helio P23 (16 nm);Allview Soul X7 Style
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Allview V4 Viper
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);Allview Soul X6 Mini
Chipset Not Found;Mediatek MT6580 (28 nm);Allview A10 Plus
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);Allview Soul X5 Style
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);Allview X5 Soul
Chipset Not Found;Mediatek MT6755 Helio P10 (28 nm);Allview X4 Soul Style
Chipset Not Found;Mediatek MT6755 Helio P10 (28 nm);Allview X4 Soul
Chipset Not Found;Mediatek MT6755 Helio P10 (28 nm);Allview P9 Energy
Chipset Not Found;Mediatek MT6755 Helio P10 (28 nm);Allview X3 Soul Plus
Chipset Not Found;Mediatek MT6580 (28 nm);Allview P6 Energy Lite
Chipset Not Found;Mediatek MT6580 (28 nm);Allview V2 Viper e
Chipset Not Found;Mediatek MT6755 Helio P10 (28 nm);Allview X3 Soul Pro
Chipset Not Found;Mediatek MT6580 (28 nm);Allview P5 eMagic
Chipset Not Found;Mediatek MT6580 (28 nm);Allview P4 eMagic
Chipset Not Found;Mediatek MT6580 (28 nm);Allview V2 Viper i
Chipset Not Found;Mediatek MT6580 (28 nm);Allview P8 Energy mini
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Allview V1 Viper S4G
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Allview W1i
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Allview W1s
Chipset Not Found;Mediatek MT6795 Helio X10 (28 nm);Allview X2 Xtreme
Chipset Not Found;Mediatek MT6591;Allview P7 Seon
Chipset Not Found;Qualcomm MSM8274 Snapdragon;Allview X1 Xtreme Mini
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Allview Impera M
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Allview Impera S
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Allview Impera i
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Allview A6 Quad
Chipset Not Found;Qualcomm MSM8274 Snapdragon 800 (28 nm);Allview X1 Xtreme
Chipset Not Found;Qualcomm MSM8228 Snapdragon 400 (28 nm);Allview V1 Viper S
Chipset Not Found;Mediatek MT8382 (28 nm);Allview Viva H10 HD
Chipset Not Found;Mediatek MT8382 (28 nm);Allview Viva H7S
Chipset Not Found;Intel Atom Z5280;Allview Viva i8
Chipset Not Found;Mediatek MT8163 (28 nm);Amazon Fire HD 8 (2017)
Chipset Not Found;Qualcomm APQ8084 Snapdragon 805 (28 nm);Amazon Fire HDX 8.9 (2014)
Chipset Not Found;Qualcomm Snapdragon 800 (28 nm);Amazon Fire Phone
Chipset Not Found;Qualcomm Snapdragon 800 (28 nm);Amazon Kindle Fire HDX 8.9
Chipset Not Found;Qualcomm Snapdragon 800 (28 nm);Amazon Kindle Fire HDX
Chipset Not Found;TI OMAP 4470;Amazon Kindle Fire HD 8.9 LTE
Chipset Not Found;TI OMAP 4470;Amazon Kindle Fire HD 8.9
Chipset Not Found;TI OMAP 4460;Amazon Kindle Fire HD
Chipset Not Found;TI OMAP 4430;Amazon Kindle Fire
Chipset Not Found;Apple S8;Apple Watch Ultra
Chipset Not Found;Apple S8;Apple Watch Series 8
Chipset Not Found;Apple S8;Apple Watch Series 8 Aluminum
Chipset Not Found;Apple S8;Apple Watch SE (2022)
Chipset Not Found;Apple S4;Apple Watch Series 4
Chipset Not Found;Apple S4;Apple Watch Series 4 Aluminum
Chipset Not Found;Apple S3;Apple Watch Edition Series 3
Chipset Not Found;Apple S3;Apple Watch Series 3
Chipset Not Found;Apple S3;Apple Watch Series 3 Aluminum
Chipset Not Found;Apple S2 (16 nm);Apple Watch Edition Series 2 42mm
Chipset Not Found;Apple S2 (16 nm);Apple Watch Edition Series 2 38mm
Chipset Not Found;Apple S2 (16 nm);Apple Watch Series 2 42mm
Chipset Not Found;Apple S2 (16 nm);Apple Watch Series 2 38mm
Chipset Not Found;Apple S2 (16 nm);Apple Watch Series 2 Aluminum 42mm
Chipset Not Found;Apple S1P (28 nm);Apple Watch Series 1 Aluminum 42mm
Chipset Not Found;Apple S2 (16 nm);Apple Watch Series 2 Aluminum 38mm
Chipset Not Found;Apple S1P (28 nm);Apple Watch Series 1 Aluminum 38mm
Chipset Not Found;Apple S1 (28 nm);Apple Watch Edition 42mm (1st gen)
Chipset Not Found;Apple S1 (28 nm);Apple Watch Edition 38mm (1st gen)
Chipset Not Found;Apple S1 (28 nm);Apple Watch 42mm (1st gen)
Chipset Not Found;Apple S1 (28 nm);Apple Watch 38mm (1st gen)
Chipset Not Found;Apple S1 (28 nm);Apple Watch Sport 42mm (1st gen)
Chipset Not Found;Apple S1 (28 nm);Apple Watch Sport 38mm (1st gen)
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);Archos Oxygen 68XL
Chipset Not Found;Unisoc SC9863 (28nm);Archos Oxygen 63
Chipset Not Found;Unisoc SC9863 (28nm);Archos Oxygen 57
Chipset Not Found;Qualcomm MSM8998 Snapdragon 835 (10 nm);Archos Diamond Omega
Chipset Not Found;Qualcomm MSM8976 Pro Snapdragon 653 (28 nm);Archos Diamond Alpha +
Chipset Not Found;Rockchip RK3399;Archos Diamond Tab
Chipset Not Found;Qualcomm MSM8976 Snapdragon 652 (28 nm);Archos Diamond Alpha
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);Archos 55b Cobalt
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);Archos 50b Cobalt
Chipset Not Found;Mediatek MT6755 Helio P10 (28 nm);Archos Diamond 2 Plus
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Archos 50d Helium 4G
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Archos 50b Helium 4G
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Archos 50 Diamond
Chipset Not Found;Qualcomm Snapdragon 200 (28 nm);Archos 40 Cesium
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Archos 80 Helium 4G
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Archos 50 Helium 4G
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Archos 45 Helium 4G
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm);Asus ZenFone Live (L2)
Chipset Not Found;Qualcomm Snapdragon SiP 1;Asus Zenfone Max Plus (M2) ZB634KL
Chipset Not Found;Qualcomm Snapdragon SiP 1;Asus Zenfone Max Shot ZB634KL
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Asus Zenfone Max (M1) ZB556KL
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Asus ZenFone Lite (L1) ZA551KL
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Asus ZenFone Live (L1) ZA550KL
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm);Asus Zenfone Max (M1) ZB555KL
Chipset Not Found;Qualcomm MSM8996 Snapdragon 820 (14 nm);Asus Zenfone V V520KL
Chipset Not Found;Qualcomm MSM8998 Snapdragon 835 (10 nm);Asus Zenfone 4 Pro ZS551KL
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Asus Zenfone 4 Selfie Lite ZB553KL
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Asus Zenfone 4 Selfie ZB553KL
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Asus Zenfone 4 Selfie ZD553KL
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Asus Zenfone 4 Max ZC520KL
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm);Asus Zenfone 4 Max Pro ZC554KL
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Asus Zenfone 4 Max Plus ZC554KL
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Asus Zenfone 4 Max ZC554KL
Chipset Not Found;Qualcomm MSM8976 Snapdragon 652 (28 nm);Asus Zenpad Z8s ZT582KL
Chipset Not Found;Qualcomm MSM8976 Snapdragon 652 (28 nm);Asus Zenpad 3s 8.0 Z582KL
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Asus Zenfone Go ZB552KL
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Asus Zenfone Live ZB501KL
Chipset Not Found;Qualcomm MSM8956 Snapdragon 650;Asus Zenpad 3S 10 Z500KL
Chipset Not Found;Qualcomm MSM8996 Snapdragon 821 (14 nm);Asus Zenfone AR ZS571KL
Chipset Not Found;Qualcomm MSM8956 Snapdragon 650;Asus Zenpad 3 8.0 Z581KL
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Asus Zenfone Go ZB500KL
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Asus Zenfone 3 Max ZC553KL
Chipset Not Found;Qualcomm MSM8956 Snapdragon 650;Asus Zenpad Z10 ZT500KL
Chipset Not Found;Qualcomm MSM8909W Snapdragon Wear 2100;Asus Zenwatch 3 WI503Q
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Asus Zenfone 3 Laser ZC551KL
Chipset Not Found;Qualcomm MSM8956 Snapdragon 650;Asus Zenpad Z8
Chipset Not Found;Qualcomm MSM8976 Snapdragon 652 (28 nm);Asus Zenfone 3 Ultra ZU680KL
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Asus Zenfone Max ZC550KL (2016)
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Asus Zenfone Go ZB450KL
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Asus Zenfone Go ZB452KG
Chipset Not Found;Qualcomm MSM8928 Snapdragon 400 (28 nm);Asus Zenfone Go ZB551KL
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Asus Zenfone Go T500
Chipset Not Found;Mediatek MT6580 (28 nm);Asus Live G500TG
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Asus Zenwatch 2 WI501Q
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Asus Zenwatch 2 WI502Q
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Asus Zenwatch WI500Q
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Asus Zenfone 2 Laser ZE551KL
Chipset Not Found;Intel Atom Z3590;Asus Zenfone Zoom ZX551ML
Chipset Not Found;Mediatek MT8163 (28 nm);Asus Zenpad 8.0 Z380M
Chipset Not Found;Mediatek MT8163 (28 nm);Asus Zenpad 10 Z300M
Chipset Not Found;Intel Atom x3-C3200;Asus Zenpad 10 Z300C
Chipset Not Found;Mediatek MT6580 (28 nm);Asus Zenfone Go ZC500TG
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Asus Zenfone Max ZC550KL
Chipset Not Found;Qualcomm MSM8939v2 Snapdragon 616 (28 nm);Asus Zenfone 2 Laser ZE601KL
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Asus Zenfone 2 Laser ZE600KL
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm)Qualcomm MSM8939 Snapdragon 615 (28 nm);Asus Zenfone 2 Laser ZE550KL
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Asus Zenfone 2 Laser ZE500KG
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Asus Zenfone 2 Laser ZE500KL
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Asus Pegasus 2 Plus
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm)Qualcomm MSM8929 Snapdragon 415 (28 nm);Asus Zenpad 8.0 Z380KL
Chipset Not Found;Intel Atom x3-C3200;Asus Zenpad 8.0 Z380C
Chipset Not Found;Mediatek MT8382V/W (28 nm);Asus Zenpad C 7.0 Z170MG
Chipset Not Found;Intel Atom x3-C3200;Asus Zenpad C 7.0
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Asus Zenfone Selfie ZD551KL
Chipset Not Found;Intel Atom Z2520;Asus Zenfone C ZC451CG
Chipset Not Found;Intel Atom Z2520;Asus Fonepad 7 FE171CG
Chipset Not Found;Intel Atom Z2520;Asus Zenfone 5 Lite A502CG (2014)
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Asus Zenfone 5 A500KL (2014)
Chipset Not Found;Intel Atom Z2520;Asus Zenfone 4 A450CG (2014)
Chipset Not Found;Intel Atom Z2520;Asus Fonepad 7 (2014)
Chipset Not Found;Qualcomm Snapdragon 800 (28 nm);Asus PadFone X
Chipset Not Found;Qualcomm MSM8974AB Snapdragon 801 (28 nm);Asus PadFone S
Chipset Not Found;Qualcomm Snapdragon 400 (28 nm);Asus PadFone E
Chipset Not Found;Intel Atom Z2520;Asus Zenfone 5 A501CG (2015)
Chipset Not Found;Intel Atom Z2520;Asus Zenfone 4 (2014)
Chipset Not Found;Qualcomm MSM8226 Snapdragon 400 (28 nm);Asus PadFone mini
Chipset Not Found;Qualcomm Snapdragon 800 (28 nm);Asus PadFone Infinity 2
Chipset Not Found;Rockchip RK101;Asus Memo Pad 10
Chipset Not Found;Qualcomm APQ8064T Snapdragon 600;Asus PadFone Infinity
Chipset Not Found;VIA WM8950;Asus Memo Pad ME172V
Chipset Not Found;Nvidia Tegra 2 T20;Asus Transformer TF101
Chipset Not Found;Qualcomm MSM7201A;Asus P835
Chipset Not Found;TI OMAP 850;Asus P320
Chipset Not Found;TI OMAP 2431;Asus M930
Chipset Not Found;TI OMAP 850;Asus P527
Chipset Not Found;TI OMAP 850;Asus P526
Chipset Not Found;TI OMAP V1030;AT&T SMT5700
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);BenQ F52
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);BenQ T3
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);BenQ F5
Chipset Not Found;Qualcomm 6250A;BenQ M7
Chipset Not Found;TI OMAP V1030;BenQ E72
Chipset Not Found;TI OMAP V1030;BenQ P31
Chipset Not Found;TI OMAP V1030;BenQ P30
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);BlackBerry Aurora
Chipset Not Found;Qualcomm MSM8996 Snapdragon 820 (14 nm);BlackBerry DTEK60
Chipset Not Found;Qualcomm MSM8952 Snapdragon 617 (28 nm);BlackBerry DTEK50
Chipset Not Found;Qualcomm MSM8992 Snapdragon 808 (20 nm);BlackBerry Priv
Chipset Not Found;Qualcomm MSM8974AA Snapdragon 801 (28 nm);BlackBerry Passport
Chipset Not Found;Qualcomm MSM8230 Snapdragon 400 (28 nm);BlackBerry Z3
Chipset Not Found;Snapdragon S4 (LTE version)/ TI OMAP 4470 (Non-LTE);BlackBerry Q10
Chipset Not Found;TI OMAP 4430;BlackBerry 4G Playbook HSPA+
Chipset Not Found;TI OMAP 4430;BlackBerry Playbook Wimax
Chipset Not Found;TI OMAP 4430;BlackBerry Playbook
Chipset Not Found;Qualcomm MSM7600;BlackBerry Storm 9500
Chipset Not Found;Qualcomm MSM7600;BlackBerry Storm 9530
Chipset Not Found;Qualcomm MSM6550;BlackBerry 8830 World Edition
Chipset Not Found;Qualcomm MSM8960Pro Snapdragon S4 Pro;BlackBerry A10
Chipset Not Found;TI OMAP 4460;BlackBerry Playbook 2012
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Blackview A53
Chipset Not Found;Rockchip RK3326S;Blackview Tab 5
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Blackview BV5200
Chipset Not Found;Mediatek MT6762V Helio P22 (12 nm);Blackview A55 Pro
Chipset Not Found;Mediatek MT6765V/CA Helio P35 (12nm);Blackview BV6600 Pro
Chipset Not Found;Mediatek MTK8768;Blackview Tab 10
Chipset Not Found;Mediatek MT6761V Helio A22 (12 nm);Blackview A55
Chipset Not Found;Mediatek MT6762V/WD Helio P22 (12 nm);Blackview BV4900 Pro
Chipset Not Found;Mediatek MT6762V/WD Helio P22 (12 nm);Blackview BV5100
Chipset Not Found;Mediatek MT6761V/WE Helio A22 (12 nm);Blackview BV4900
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Blackview BV5900
Chipset Not Found;Mediatek MT6580A (28 nm);Blackview A10
Chipset Not Found;Mediatek MT6580A (28 nm);Blackview A7
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);BLU G51
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio X10 2022
Chipset Not Found;Unisoc SC9832 (28nm);BLU C5L Max
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);BLU View 3
Chipset Not Found;Mediatek MT6785 Helio G90 (12 nm);BLU G91 Pro
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);BLU View 2
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);BLU View Mega
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio X10
Chipset Not Found;Mediatek MT6763 Helio P23 (16 nm);BLU G80
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio X9 HD
Chipset Not Found;Mediatek MT6580 (28 nm);BLU J6
Chipset Not Found;Mediatek MT6580 (28 nm);BLU C6 2019
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);BLU G9
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio X8 HD (2019)
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);BLU Vivo XL4
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio Mega (2018)
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Grand M2 (2018)
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);BLU Vivo XI
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio G4
Chipset Not Found;Mediatek MT6580 (28 nm);BLU C6
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio View
Chipset Not Found;Mediatek MT6570 (28 nm);BLU Dash L4
Chipset Not Found;Mediatek MT2502;BLU X Link
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);BLU Vivo XL3 Plus
Chipset Not Found;Mediatek MT6757 Helio P20 (16 nm);BLU Vivo X
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio View XL
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Grand 5.5 HD II
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio G3
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Grand M2
Chipset Not Found;Mediatek MT6570 (28 nm);BLU C5 (2017)
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio Pro
Chipset Not Found;Mediatek MT6570 (28 nm);BLU Studio G Mini
Chipset Not Found;Mediatek MT6755 Helio P10 (28 nm);BLU Vivo 8
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio J8
Chipset Not Found;Mediatek MT6570 (28 nm);BLU Grand Mini
Chipset Not Found;Mediatek MT6580 (28 nm);BLU R2
Chipset Not Found;Mediatek MT6570 (28 nm);BLU Studio J1
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Grand XL
Chipset Not Found;Mediatek MT6570 (28 nm);BLU Studio J2
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Studio Mega
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);BLU Studio Selfie LTE
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);BLU Life One X2 Mini
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Vivo 5 Mini
Chipset Not Found;Mediatek MT6580 (28 nm);BLU Grand Max
