0;1;2
Chipset Not Found;Qualcomm Snapdragon 400 (28 nm);HTC One mini
Chipset Not Found;Qualcomm MSM8930 Snapdragon 400 (28 nm);HTC 8XT
Chipset Not Found;Qualcomm APQ8064T Snapdragon 600;HTC Butterfly S
Chipset Not Found;Qualcomm MSM8625Q Snapdragon 200 (45 nm);HTC Desire 600 dual sim
Chipset Not Found;Qualcomm MSM8930 Snapdragon 400 (28 nm);HTC First
Chipset Not Found;Qualcomm APQ8064T Snapdragon 600;HTC One Dual Sim
Chipset Not Found;Qualcomm APQ8064T Snapdragon 600;HTC One
Chipset Not Found;Qualcomm MSM8930 Snapdragon 400 (28 nm);HTC One VX
Chipset Not Found;Qualcomm MSM7225A Snapdragon S1;HTC Desire C
Chipset Not Found;Qualcomm MSM8290;HTC One S
Chipset Not Found;Qualcomm Snapdragon S3 APQ8060;HTC Vivid
Chipset Not Found;Qualcomm MSM7225A Snapdragon S1;HTC Explorer
Chipset Not Found;Broadcom BCM4329;HTC Lead
Chipset Not Found;Qualcomm QSD8650 Snapdragon S1;HTC Trophy
Chipset Not Found;Qualcomm MSM7630;HTC Merge
Chipset Not Found;Qualcomm MSM7630 Snapdragon S2;HTC EVO Shift 4G
Chipset Not Found;Qualcomm MSM7230;HTC Desire Z
Chipset Not Found;Qualcomm QSD8650 Snapdragon S1;HTC Evo 4G
Chipset Not Found;Qualcomm QSD8650 Snapdragon S1;HTC Droid Incredible
Chipset Not Found;Qualcomm MSM7600;HTC DROID ERIS
Chipset Not Found;Qualcomm MSM7201A;HTC Pure
Chipset Not Found;Qualcomm MSM7200A;HTC Hero CDMA
Chipset Not Found;Qualcomm MSM7200A;HTC Hero
Chipset Not Found;Qualcomm MSM7200A;HTC Magic
Chipset Not Found;Qualcomm MSM7200A;HTC Touch Pro2 CDMA
Chipset Not Found;Qualcomm MSM7200A;HTC Tilt2
Chipset Not Found;Qualcomm MSM7200A;HTC Touch Pro2
Chipset Not Found;Qualcomm MSM7200A;HTC Touch Diamond2 CDMA
Chipset Not Found;Qualcomm MSM7200A;HTC Touch Diamond2
Chipset Not Found;Qualcomm MSM7201A;HTC Dream
Chipset Not Found;Qualcomm ESM7206A;HTC MAX 4G
Chipset Not Found;Qualcomm MSM7201A;HTC Touch HD T8285
Chipset Not Found;Qualcomm MSM7201A;HTC Touch HD
Chipset Not Found;TI OMAP 850;HTC Touch Viva
Chipset Not Found;Qualcomm MSM7501A;HTC Touch Pro CDMA
Chipset Not Found;Qualcomm MSM7201A;HTC Touch Pro
Chipset Not Found;Qualcomm MSM7501A;HTC Touch Diamond CDMA
Chipset Not Found;Qualcomm MSM7201A;HTC Touch Diamond
Chipset Not Found;TI OMAP 850;HTC P3470
Chipset Not Found;Qualcomm MSM7200;HTC Touch Cruise
Chipset Not Found;Qualcomm MSM7200;HTC Touch Dual
Chipset Not Found;Qualcomm MSM7200;HTC P6500
Chipset Not Found;Qualcomm MSM7200;HTC S730
Chipset Not Found;Qualcomm MSM7200;HTC TyTN II
Chipset Not Found;TI OMAP 850;HTC Touch
Chipset Not Found;ATI Graphic Chip W2284;HTC Advantage X7500
Chipset Not Found;TI OMAP 850;HTC S710
Chipset Not Found;TI OMAP 850;HTC P3350
Chipset Not Found;TI OMAP 850;HTC P3400
Chipset Not Found;TI OMAP 850;HTC P4350
Chipset Not Found;TI OMAP 850;HTC P3300
Chipset Not Found;TI OMAP 850;HTC S620
Chipset Not Found;TI OMAP 850;HTC S310
Chipset Not Found;Mediatek MT6763 Helio P23 (16 nm);HTC Wildfire R70
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);HTC One (M8i)
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);HTC A12
Chipset Not Found;Kirin 710A (14 nm);Huawei MatePad C5e
Chipset Not Found;Kirin 820 5G (7nm);Huawei MatePad 10.4 (2022)
Chipset Not Found;Kirin 710A (14 nm);Huawei MatePad SE
Chipset Not Found;Unspecified;Huawei nova Y70 Plus
Chipset Not Found;Kirin 710A (14 nm);Huawei nova 8 SE 4G
Chipset Not Found;Mediatek MT6765 Helio P35 (12nm);Huawei nova Y60
Chipset Not Found;Mediatek MT6765 Helio P35 (12nm)Kirin 710A (14 nm) - 128GB 6GB RAM only;Huawei Enjoy 20e
Chipset Not Found;Kirin 820E (7nm);Huawei nova 8
Chipset Not Found;Kirin 9000 (5 nm)Qualcomm SM8350 Snapdragon 888 4G (5 nm);Huawei P50 Pro
Chipset Not Found;Kirin 710A (14 nm);Huawei nova 8 SE Youth
Chipset Not Found;Kirin 9000 (5 nm);Huawei Mate 40 Pro 4G
Chipset Not Found;Kirin 990E (7 nm+);Huawei Mate 40E 4G
Chipset Not Found;Kirin 9000 (5 nm);Huawei Mate X2 4G
Chipset Not Found;Kirin 9000E 5G (5 nm) - Wi-Fi modelKirin 9000 5G (5 nm) - 5G model;Huawei MatePad Pro 12.6 (2021)
Chipset Not Found;Kirin 985 5G (7 nm);Huawei nova 8 Pro 4G
Chipset Not Found;Kirin 710A (14 nm);Huawei MatePad T 10
Chipset Not Found;Kirin 990E 5G (7 nm+);Huawei Mate 40E
Chipset Not Found;Kirin 990 (7 nm+);Huawei P40 4G
Chipset Not Found;Kirin 9000 5G (5 nm);Huawei Mate X2
Chipset Not Found;Kirin 985 5G (7 nm);Huawei nova 8 Pro 5G
Chipset Not Found;Kirin 985 5G (7 nm);Huawei nova 8 5G
Chipset Not Found;Kirin 710A (14 nm);Huawei Enjoy 20 SE
Chipset Not Found;Kirin 9000 5G (5 nm);Huawei Mate 40 RS Porsche Design
Chipset Not Found;Kirin 9000 5G (5 nm);Huawei Mate 40 Pro+
Chipset Not Found;Kirin 9000 5G (5 nm);Huawei Mate 40 Pro
Chipset Not Found;Kirin 9000E 5G (5 nm);Huawei Mate 40
Chipset Not Found;Kirin 990E 5G (7 nm+);Huawei Mate 30E Pro 5G
Chipset Not Found;Kirin 710A (14 nm);Huawei Y7a
Chipset Not Found;Kirin 710A (14 nm);Huawei P smart 2021
Chipset Not Found;Kirin 820 5G (7nm);Huawei MatePad 5G
Chipset Not Found;Kirin A1;Huawei Watch GT 2 Pro
Chipset Not Found;Kirin 990 (7 nm);Huawei MatePad 10.8
Chipset Not Found;Kirin 710A (14 nm);Huawei MatePad T 10s
Chipset Not Found;Kirin 710A (14 nm);Huawei Enjoy Tablet 2
Chipset Not Found;Kirin 710F (12 nm);Huawei P Smart S
Chipset Not Found;Kirin 710F (12 nm);Huawei Y8p
Chipset Not Found;Kirin 820 5G (7nm);Huawei P40 lite 5G
Chipset Not Found;Kirin 980 (7 nm);Huawei P30 Pro New Edition
Chipset Not Found;Kirin 710 (12 nm);Huawei Y8s
Chipset Not Found;Mediatek MT6762R Helio P22 (12 nm);Huawei Y6p
Chipset Not Found;Mediatek MT6762R Helio P22 (12 nm);Huawei Y5p
Chipset Not Found;Kirin 710 (12 nm);Huawei P smart 2020
Chipset Not Found;Kirin 985 5G (7 nm);Huawei nova 7 Pro 5G
Chipset Not Found;Kirin 985 5G (7 nm);Huawei nova 7 5G
Chipset Not Found;Kirin 820 5G (7nm);Huawei nova 7 SE
Chipset Not Found;Kirin 810 (7 nm);Huawei MatePad 10.4
Chipset Not Found;Mediatek MT6765 Helio P35 (12nm);Huawei Enjoy 10e
Chipset Not Found;Kirin 990 5G (7 nm+);Huawei P40 Pro+
Chipset Not Found;Kirin 990 5G (7 nm+);Huawei P40 Pro
Chipset Not Found;Kirin 990 5G (7 nm+);Huawei P40
Chipset Not Found;Kirin 710F (12 nm);Huawei P40 lite E
Chipset Not Found;Kirin 810 (7 nm);Huawei P40 lite
Chipset Not Found;Kirin 990 5G (7 nm+);Huawei MatePad Pro 10.8 5G (2019)
Chipset Not Found;Kirin 990 5G (7 nm+);Huawei Mate Xs
Chipset Not Found;Kirin 710 (12 nm);Huawei P30 lite New Edition
Chipset Not Found;Kirin 710F (12 nm);Huawei Y7p
Chipset Not Found;Kirin 810 (7 nm);Huawei nova 7i
Chipset Not Found;Mediatek MT6765 Helio P35 (12nm);Huawei Y6s (2019)
Chipset Not Found;Kirin 710F (12 nm);Huawei P smart Pro 2019
Chipset Not Found;Kirin 990 (7 nm);Huawei nova 6 5G
Chipset Not Found;Kirin 990 (7 nm);Huawei nova 6
Chipset Not Found;Kirin 810 (7 nm);Huawei nova 6 SE
Chipset Not Found;Kirin 990 (7 nm+);Huawei MatePad Pro 10.8 (2019)
Chipset Not Found;Kirin 980 (7 nm);Huawei Mate X
Chipset Not Found;Kirin 710F (12 nm);Huawei Y9s
Chipset Not Found;Kirin 810 (7 nm);Huawei nova 5z
Chipset Not Found;Kirin 710F (12 nm);Huawei Enjoy 10s
Chipset Not Found;Kirin 710F (12 nm);Huawei Enjoy 10
Chipset Not Found;Kirin 990 5G (7 nm+);Huawei Mate 30 RS Porsche Design
Chipset Not Found;Kirin 990 5G (7 nm+);Huawei Mate 30 Pro 5G
Chipset Not Found;Kirin 990 (7 nm);Huawei Mate 30 Pro
Chipset Not Found;Kirin 990 5G (7 nm+);Huawei Mate 30 5G
Chipset Not Found;Kirin 990 (7 nm+);Huawei Mate 30
Chipset Not Found;Kirin 810 (7 nm);Huawei nova 5i Pro
Chipset Not Found;Kirin 710F (12 nm);Huawei Enjoy 10 Plus
Chipset Not Found;Kirin 980 (7 nm);Huawei nova 5T
Chipset Not Found;Kirin 980 (7 nm);Huawei MediaPad M6 10.8
Chipset Not Found;Kirin 980 (7 nm);Huawei MediaPad M6 Turbo 8.4
Chipset Not Found;Kirin 980 (7 nm);Huawei MediaPad M6 8.4
Chipset Not Found;Kirin 980 (7 nm);Huawei nova 5 Pro
Chipset Not Found;Kirin 810 (7 nm);Huawei nova 5
Chipset Not Found;Kirin 710F (12 nm);Huawei nova 5i
Chipset Not Found;Kirin 710F (12 nm);Huawei Y9 Prime (2019)
Chipset Not Found;Kirin 710 (12 nm);Huawei P20 lite (2019)
Chipset Not Found;Kirin 710F (12 nm);Huawei P Smart Z
Chipset Not Found;Kirin 980 (7 nm);Huawei Mate 20 X (5G)
Chipset Not Found;Kirin 980 (7 nm);Huawei P30 Pro
Chipset Not Found;Kirin 980 (7 nm);Huawei P30
Chipset Not Found;Kirin 710 (12 nm);Huawei P30 lite
Chipset Not Found;Kirin 710 (12 nm);Huawei nova 4e
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Huawei Y5 (2019)
Chipset Not Found;Mediatek MT6765 Helio P35 (12nm);Huawei Enjoy 9e
Chipset Not Found;Kirin 710 (12 nm);Huawei Enjoy 9s
Chipset Not Found;Kirin 710 (12 nm);Huawei MediaPad M5 Lite 8
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Huawei Y6 Pro (2019)
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Huawei Y6 (2019)
Chipset Not Found;Kirin 970 (10 nm);Huawei nova 4
Chipset Not Found;Kirin 710 (12 nm);Huawei P smart 2019
Chipset Not Found;Kirin 980 (7 nm);Huawei Mate 20 RS Porsche Design
Chipset Not Found;Kirin 980 (7 nm);Huawei Mate 20 X
Chipset Not Found;Kirin 980 (7 nm);Huawei Mate 20 Pro
Chipset Not Found;Kirin 980 (7 nm);Huawei Mate 20
Chipset Not Found;Kirin 659 (16 nm);Huawei MediaPad T5
Chipset Not Found;Kirin 659 (16 nm);Huawei MediaPad M5 lite
Chipset Not Found;Kirin 710 (12 nm);Huawei Y9 (2019)
Chipset Not Found;Kirin 710 (12 nm);Huawei Mate 20 lite
Chipset Not Found;Kirin 710 (12 nm);Huawei P Smart+ 2019
Chipset Not Found;Kirin 710 (12 nm);Huawei nova 3i
Chipset Not Found;Kirin 970 (10 nm);Huawei nova 3
Chipset Not Found;Qualcomm MSM8909W Snapdragon Wear 2100;Huawei Watch 2 2018
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Huawei Y6 Prime (2018)
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Huawei Y6 (2018)
Chipset Not Found;Kirin 970 (10 nm);Huawei Mate RS Porsche Design
Chipset Not Found;Kirin 970 (10 nm);Huawei P20 Pro
Chipset Not Found;Kirin 970 (10 nm);Huawei P20
Chipset Not Found;Kirin 659 (16 nm);Huawei P20 lite
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Huawei Y7 Pro (2018)
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Huawei Y7 Prime (2018)
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Huawei Y7 (2018)
Chipset Not Found;Kirin 659 (16 nm);Huawei Y9 (2018)
Chipset Not Found;Kirin 960 (16 nm);Huawei MediaPad M5 10 (Pro)
Chipset Not Found;Kirin 960s (16 nm);Huawei MediaPad M5 10
Chipset Not Found;Kirin 960s (16 nm);Huawei MediaPad M5 8
Chipset Not Found;Kirin 659 (16 nm);Huawei P smart
Chipset Not Found;Kirin 960 (16 nm);Huawei nova 2s
Chipset Not Found;Kirin 970 (10 nm);Huawei Mate 10 Porsche Design
Chipset Not Found;Kirin 970 (10 nm);Huawei Mate 10 Pro
Chipset Not Found;Kirin 970 (10 nm);Huawei Mate 10
Chipset Not Found;Qualcomm MSM8909W Snapdragon Wear 2100;Huawei Watch 2 Pro
Chipset Not Found;Kirin 659 (16 nm);Huawei Mate 10 Lite
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Huawei P9 lite mini
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Huawei MediaPad T3 10
Chipset Not Found;Kirin 659 (16 nm);Huawei nova 2 plus
Chipset Not Found;Kirin 659 (16 nm);Huawei nova 2
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Huawei MediaPad T3 8.0
Chipset Not Found;Qualcomm MSM8909W Snapdragon Wear 2100;Huawei Watch 2 Classic
Chipset Not Found;Qualcomm MSM8909W Snapdragon Wear 2100;Huawei Watch 2
Chipset Not Found;Kirin 960 (16 nm);Huawei P10 Plus
Chipset Not Found;Kirin 960 (16 nm);Huawei P10
Chipset Not Found;Kirin 658 (16 nm);Huawei P10 Lite
Chipset Not Found;Kirin 655 (16 nm);Huawei P8 Lite (2017)
Chipset Not Found;Kirin 960 (16 nm);Huawei Mate 9 Pro
Chipset Not Found;Kirin 960 (16 nm);Huawei Mate 9 Porsche Design
Chipset Not Found;Kirin 960 (16 nm);Huawei Mate 9
Chipset Not Found;Kirin 950 (16 nm);Huawei MediaPad M3 8.4
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Huawei MediaPad T2 10.0 Pro
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Huawei MediaPad T2 7.0 Pro
Chipset Not Found;Spreadtrum SC9830l;Huawei MediaPad T2 7.0
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Huawei MediaPad M2 7.0
Chipset Not Found;Kirin 650 (16 nm);Huawei P9 lite
Chipset Not Found;Kirin 955 (16 nm);Huawei P9 Plus
Chipset Not Found;Kirin 955 (16 nm);Huawei P9
Chipset Not Found;Kirin 930 (28 nm);Huawei MediaPad M2 10.0
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Huawei Watch
Chipset Not Found;Kirin 950 (16 nm);Huawei Mate 8
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Huawei G7 Plus
Chipset Not Found;Qualcomm MSM8994 Snapdragon 810 (20 nm);Huawei Nexus 6P
Chipset Not Found;Kirin 935 (28 nm);Huawei Mate S
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);Huawei Y6
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Huawei G8
Chipset Not Found;Kirin 930 (28 nm);Huawei MediaPad M2 8.0
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);Huawei Y560
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Huawei Y625
Chipset Not Found;Qualcomm MSM8939 Snapdragon 615 (28 nm);Huawei P8lite ALE-L04
Chipset Not Found;Kirin 620 (28 nm);Huawei P8lite
Chipset Not Found;Kirin 935 (28 nm);Huawei P8max
Chipset Not Found;Kirin 930 (28 nm)/ Kirin 935 (28 nm);Huawei P8
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Huawei SnapTo
Chipset Not Found;Kirin 930 (28 nm);Huawei MediaPad X2
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Huawei Ascend GX1
Chipset Not Found;Kirin 925 (28 nm);Huawei Ascend Mate7 Monarch
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Huawei MediaPad T1 10
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Huawei MediaPad T1 8.0
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Huawei Ascend G620s
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Huawei Ascend Y550
Chipset Not Found;Qualcomm MSM8916 Snapdragon 410 (28 nm);Huawei Ascend G7
Chipset Not Found;Kirin 910T (28 nm);Huawei Ascend P7 Sapphire Edition
Chipset Not Found;Kirin 925 (28 nm);Huawei Ascend Mate7
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Huawei Ascend G535
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Huawei Ascend G630
Chipset Not Found;Kirin 910T (28 nm);Huawei Ascend P7
Chipset Not Found;Qualcomm Snapdragon 400 (28 nm);Huawei Ascend P7 mini
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Huawei Ascend G6 4G
Chipset Not Found;Kirin 910 (28 nm);Huawei MediaPad M1
Chipset Not Found;Kirin 910 (28 nm);Huawei MediaPad X1
Chipset Not Found;Qualcomm MSM8210 Snapdragon 200 (28 nm);Huawei Ascend Y530
Chipset Not Found;Qualcomm MSM8928 Snapdragon 400 (28 nm);Huawei Ascend Mate2 4G
Chipset Not Found;Qualcomm MSM8930 Snapdragon 400 (28 nm);Huawei Ascend G740
Chipset Not Found;Qualcomm MSM8230 Snapdragon 400 (28 nm);Huawei Ascend W2
Chipset Not Found;Mediatek MT6250;Huawei G6153
Chipset Not Found;Mediatek MT6250M;Huawei G3621L
Chipset Not Found;Qualcomm MSM7225A Snapdragon S1;Huawei U8687 Cronos
Chipset Not Found;Huawei K3V2;Huawei MediaPad 7 Vogue
Chipset Not Found;Huawei K3V2;Huawei Ascend P6
Chipset Not Found;Qualcomm MSM7225A Snapdragon S1;Huawei Ascend Y210D
Chipset Not Found;Huawei K3V2;Huawei Ascend P2
Chipset Not Found;Huawei K3V2;Huawei Ascend G615
Chipset Not Found;Qualcomm MSM8230 Snapdragon 400 (28 nm);Huawei Ascend W1
Chipset Not Found;Huawei K3V2;Huawei Ascend Mate
Chipset Not Found;Huawei K3V2;Huawei Ascend D2
Chipset Not Found;Huawei K3V2;Huawei MediaPad 10 Link
Chipset Not Found;Qualcomm MSM7625A Snapdragon S1;Huawei Ascend Y
Chipset Not Found;Qualcomm MSM7225A-1-AA Snapdragon S1;Huawei Fusion 2 U8665
Chipset Not Found;Qualcomm MSM7225A Snapdragon S1;Huawei Ascend Y100
Chipset Not Found;Qualcomm MSM7225A Snapdragon S1;Huawei Ascend Y200
Chipset Not Found;TI OMAP 4460;Huawei Ascend P1 XL U9200E
Chipset Not Found;TI OMAP 4460;Huawei Ascend P1
Chipset Not Found;Mediatek MT6252;Huawei G5000
Chipset Not Found;Qualcomm MSM7627T;Huawei Activa 4G
Chipset Not Found;TI OMAP 4460;Huawei Ascend D1 XL U9500E
Chipset Not Found;TI OMAP 4460;Huawei Ascend D1
Chipset Not Found;Huawei K3V2;Huawei Ascend D quad XL
Chipset Not Found;Huawei K3V2;Huawei Ascend D quad
Chipset Not Found;TI OMAP 4460;Huawei Ascend P1s
Chipset Not Found;Mediatek MT6236;Huawei G7300
Chipset Not Found;Qualcomm MSM7227-1 Snapdragon S1;Huawei U8520 Duplex
Chipset Not Found;Marvell 88sv331;Huawei T8300
Chipset Not Found;Qualcomm MSM7230;Huawei Impulse 4G
Chipset Not Found;Qualcomm MSM7230;Huawei U8800 IDEOS X5
Chipset Not Found;Qualcomm QSC6270;Huawei U7520
Chipset Not Found;Qualcomm MSM7200A;Huawei U8230
Chipset Not Found;Qualcomm QSC6270;Huawei U9130 Compass
Chipset Not Found;Kirin 810 (7 nm);Huawei Mate 30 Lite
Chipset Not Found;Kirin 659 (16 nm);Huawei G10
Chipset Not Found;Kirin 920 (28 nm);Huawei Mulan
Chipset Not Found;Qualcomm MSM7200;i-mate Ultimate 9502
Chipset Not Found;Qualcomm MSM7200;i-mate Ultimate 8502
Chipset Not Found;TI OMAP 850;i-mate JAQ4
Chipset Not Found;TI OMAP 850;i-mate PDAL
Chipset Not Found;TI OMAP 850;i-mate JAQ3
Chipset Not Found;TI OMAP 850;i-mate JAQ
Chipset Not Found;TI OMAP 850;i-mate Smartflip
Chipset Not Found;TI OMAP 850;i-mate JAMin
Chipset Not Found;TI OMAP 850;i-mate K-JAM
Chipset Not Found;TI OMAP 850;i-mate SP5
Chipset Not Found;TI OMAP 730;i-mate SP5m
Chipset Not Found;TI OMAP 850;i-mate SP4m
Chipset Not Found;TI OMAP 730;i-mate SP3i
Chipset Not Found;TI OMAP 730;i-mate SP3
Chipset Not Found;TI OMAP 710;i-mate Smartphone2
Chipset Not Found;Spreadtrum 6531DA;Icemobile Mash
Chipset Not Found;Mediatek MT6515;Icemobile Apollo Touch
Chipset Not Found;Mediatek MT6515;Icemobile Apollo
Chipset Not Found;Mediatek MT6252C;Icemobile Diamond Dust
Chipset Not Found;Mediatek MT6573 (65 nm);Icemobile Prime
Chipset Not Found;Mediatek MT6516;Icemobile Clima II
Chipset Not Found;Mediatek MT6516;Icemobile Crystal
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Infinix Hot 12i
Chipset Not Found;Mediatek MT6761D Helio A20 (12 nm);Infinix Smart HD 2021
Chipset Not Found;Mediatek MT6761D Helio A20 (12 nm);Infinix Hot 10 Lite
Chipset Not Found;Mediatek MT6761D Helio A20 (12 nm);Infinix Smart 5
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);Infinix Hot 9 Pro
Chipset Not Found;Mediatek MT6765 Helio P35 (12nm);Infinix S5 Pro (16+32)
Chipset Not Found;Mediatek MT6765 Helio P35 (12nm);Infinix S5 Pro (48+40)
Chipset Not Found;Mediatek MT6765 Helio P35 (12nm);Infinix S5 Pro
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);Infinix S5 lite
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Infinix Smart 4
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Infinix Smart 4c
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);Infinix S5
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm) - 32/2 GBMediatek MT6762 Helio P22 (12 nm) - 64/4 GB;Infinix Hot 8
Chipset Not Found;Mediatek MT6765 Helio P35 (12nm);Infinix Note 6
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Infinix Smart3 Plus
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);Infinix S4
Chipset Not Found;Mediatek MT6580 (28 nm);Infinix Hot 7
Chipset Not Found;Mediatek MT6580 (28 nm);Infinix Smart 2 HD
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Infinix Hot 6X
Chipset Not Found;Mediatek MT6763T Helio P23 (16 nm);Infinix Note 5 Stylus
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Infinix S3X
Chipset Not Found;Mediatek MT6763 Helio P23 (16 nm);Infinix Note 5
Chipset Not Found;Qualcomm MSM8917 Snapdragon 425 (28 nm);Infinix Hot 6 Pro
Chipset Not Found;Qualcomm MSM8937 Snapdragon 430 (28 nm);Infinix Hot S3
Chipset Not Found;Mediatek MT6757CD Helio P20 (16 nm);Infinix Zero 5 Pro
Chipset Not Found;Mediatek MT6757CD Helio P20 (16 nm);Infinix Zero 5
Chipset Not Found;Mediatek MT6580 (28 nm);Infinix Smart
Chipset Not Found;Mediatek MT6797M Helio X20 (20 nm);Infinix Zero 4 Plus
Chipset Not Found;Mediatek MT6571 (28 nm);Intex Aqua 4.5E
Chipset Not Found;Qualcomm MSM8909v2 Snapdragon 212 (28 nm);Jolla Jolla C
Chipset Not Found;Qualcomm Snapdragon 400 (28 nm);Jolla Jolla
Chipset Not Found;Mediatek MT6591;Karbonn Titanium Hexa
Chipset Not Found;Mediatek MT6515;Karbonn A34
Chipset Not Found;Mediatek MT6517;Karbonn A7 Star
Chipset Not Found;Vivante GC860;Karbonn Smart Tab 7
Chipset Not Found;Qualcomm MSM8952 Snapdragon 617 (28 nm);Kyocera DuraForce Pro
Chipset Not Found;Qualcomm MSM8928 Snapdragon 400 (28 nm);Kyocera DuraForce XD
Chipset Not Found;Qualcomm MSM8928 Snapdragon 400 (28 nm);Kyocera DuraForce
Chipset Not Found;Qualcomm MSM8212 Snapdragon 200 (28 nm);Kyocera Hydro Life
Chipset Not Found;Qualcomm Snapdragon 400 (28 nm);Kyocera Brigadier
Chipset Not Found;Qualcomm MSM7627T;Kyocera Milano C5121
Chipset Not Found;Qualcomm MSM7627T;Kyocera Milano C5120
Chipset Not Found;Qualcomm QSC6055;Kyocera Brio
Chipset Not Found;Qualcomm QSD8650 Snapdragon S1;Kyocera Echo
Chipset Not Found;Qualcomm QSC6055;Kyocera DuraCore E4210
Chipset Not Found;Qualcomm QSC6055;Kyocera DuraMax
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Lava X3
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Lava Blaze
Chipset Not Found;Mediatek MT6761 Helio A20 (12 nm);Lava Z1
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);Lava Z71
Chipset Not Found;Unisoc SC9832E;Lava Z40
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);Lava Z92
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);Lava Z81
Chipset Not Found;Spreadtrum SC9832;Lava A97 2GB+
Chipset Not Found;Spreadtrum SC9832;Lava A77
Chipset Not Found;Mediatek MT6580 (28 nm);Lava Fuel F1
Chipset Not Found;Qualcomm Snapdragon 200 (28 nm);Lava Iris Win1
Chipset Not Found;Broadcom BCM23550;Lava Iris X1
Chipset Not Found;Qualcomm MSM8610 Snapdragon 200 (28 nm);Lava Iris 406Q
Chipset Not Found;Mediatek MT6797D Helio X23 (20 nm) - StandardMediatek MT6797X Helio X27 (20 nm) - Eco Edition;LeEco Le Pro 3 AI Edition
Chipset Not Found;Qualcomm MSM8996 Snapdragon 820 (14 nm);LeEco Le Pro3 Elite
Chipset Not Found;Qualcomm MSM8976 Snapdragon 652 (28 nm);LeEco Le S3
Chipset Not Found;Qualcomm MSM8996 Snapdragon 821 (14 nm);LeEco Le Pro3
Chipset Not Found;Qualcomm MSM8996 Snapdragon 820 (14 nm);LeEco Le Max 2
Chipset Not Found;Mediatek MT6797T Helio X25 (20 nm);LeEco Le 2 Pro
Chipset Not Found;Mediatek MT6797 Helio X20 (20 nm)Qualcomm MSM8976 Snapdragon 652 (28 nm);LeEco Le 2
Chipset Not Found;Qualcomm MSM8994 Snapdragon 810 (20 nm);LeEco Le Max
Chipset Not Found;Mediatek MT6795 Helio X10 (28 nm);LeEco Le 1s
Chipset Not Found;Mediatek MT6762 Helio P22T (12 nm);Lenovo Tab K10
